docs/scripts/get-feature-paths.md	scripts/bash/get-feature-paths.sh	mentions	INFERRED
docs/scripts/get-feature-paths.md	scripts/powershell/check-task-prerequisites.ps1	mentions	INFERRED
docs/scripts/get-feature-paths.md	scripts/powershell/common.ps1	mentions	INFERRED
docs/scripts/get-feature-paths.md	scripts/powershell/get-feature-paths.ps1	mentions	INFERRED
docs/scripts/inject-ai-headers.md	README.md	mentions	INFERRED
docs/scripts/inject-ai-headers.md	scripts/bash/inject-ai-headers.sh	mentions	INFERRED
docs/scripts/inject-ai-headers.md	scripts/powershell/inject-ai-headers.ps1	mentions	INFERRED
docs/scripts/inject-ai-headers.md	templates/ai-headers/README.md	references	EXTRACTED
docs/scripts/install.md	docs/scripts/README.md	references	EXTRACTED
docs/scripts/install.md	README.md	references	EXTRACTED
docs/scripts/install.md	scripts/bash/config-manager.sh	mentions	INFERRED
docs/scripts/install.md	scripts/bash/install.sh	mentions	INFERRED
docs/scripts/install.md	scripts/bash/plaesy-init.sh	mentions	INFERRED
docs/scripts/install.md	scripts/powershell/install.ps1	mentions	INFERRED
docs/scripts/install.md	scripts/powershell/plaesy-init.ps1	mentions	INFERRED
docs/scripts/plaesy-analyze.md	docs/scripts/plaesy-graph.md	references	EXTRACTED
docs/scripts/plaesy-analyze.md	scripts/bash/plaesy-analyze.sh	mentions	INFERRED
docs/scripts/plaesy-analyze.md	scripts/powershell/plaesy-analyze.ps1	mentions	INFERRED
docs/scripts/plaesy-clean.md	CLAUDE.md	mentions	INFERRED
docs/scripts/plaesy-clean.md	docs/scripts/plaesy-init.md	mentions	INFERRED
docs/scripts/plaesy-clean.md	scripts/bash/config-manager.sh	mentions	INFERRED
docs/scripts/plaesy-clean.md	scripts/bash/plaesy-clean.sh	mentions	INFERRED
docs/scripts/plaesy-clean.md	scripts/powershell/config-manager.ps1	mentions	INFERRED
docs/scripts/plaesy-clean.md	scripts/powershell/plaesy-clean.ps1	mentions	INFERRED
docs/scripts/plaesy-graph.md	instructions/plaesy-graph.instructions.md	references	EXTRACTED
docs/scripts/plaesy-graph.md	scripts/bash/plaesy-graph.sh	mentions	INFERRED
docs/scripts/plaesy-graph.md	scripts/powershell/plaesy-graph.ps1	mentions	INFERRED
docs/scripts/plaesy-init.md	AGENTS.md	mentions	INFERRED
docs/scripts/plaesy-init.md	CLAUDE.md	mentions	INFERRED
docs/scripts/plaesy-init.md	instructions/plaesy.instructions.md	mentions	INFERRED
docs/scripts/plaesy-init.md	README.md	mentions	INFERRED
docs/scripts/plaesy-init.md	scripts/bash/config-manager.sh	mentions	INFERRED
docs/scripts/plaesy-init.md	scripts/bash/plaesy-init.sh	mentions	INFERRED
docs/scripts/plaesy-init.md	scripts/powershell/config-manager.ps1	mentions	INFERRED
docs/scripts/plaesy-init.md	scripts/powershell/plaesy-init.ps1	mentions	INFERRED
